,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New England Patriots,14,16.2,307.5,60.8,5.1,1.93,0.50,17.6,18.4,31.6,185.1,1.14,1.43,5.5,10.1,26.9,122.4,0.50,4.6,6.36,6.21,52.0,1.14,25.9,18.7,3.79
2,Denver Broncos,13,17.5,324.8,60.1,5.4,1.23,0.31,17.6,19.8,33.8,218.6,1.23,0.92,6.0,11.1,23.9,106.2,0.54,4.4,5.46,6.69,60.0,1.08,30.2,11.6,-0.62
3,Buffalo Bills,13,17.6,288.9,60.5,4.8,2.00,0.77,17.2,18.8,32.1,179.5,0.77,1.23,5.3,8.54,26.7,109.4,1.08,4.1,6.15,6.62,54.2,2.54,29.0,15.9,4.03
4,Arizona Cardinals,13,19.5,321.6,60.7,5.3,1.77,0.85,19.7,22.2,34.0,209.8,1.46,0.92,5.7,11.0,24.0,111.8,0.62,4.7,6.77,5.77,53.0,1.92,32.1,16.8,1.84
5,Seattle Seahawks,13,20.2,394.9,72.2,5.5,1.00,0.46,24.2,26.8,39.8,278.9,1.38,0.54,6.7,14.8,30.8,116.0,0.85,3.8,7.23,5.69,56.6,2.08,34.5,7.6,-6.30
6,Green Bay Packers,13,20.9,323.6,61.0,5.3,1.69,0.62,19.5,21.8,35.1,218.5,1.77,1.08,5.8,11.2,23.6,105.2,0.69,4.5,6.85,5.31,45.1,1.46,34.4,15.3,-3.15
7,Carolina Panthers,13,21.7,293.0,60.2,4.9,1.15,0.54,17.9,19.5,29.5,177.7,1.38,0.62,5.6,9.31,28.3,115.3,0.85,4.1,6.77,6.69,56.6,1.85,33.1,9.9,2.57
8,Baltimore Ravens,13,21.8,351.5,59.5,5.9,0.85,0.38,18.6,21.6,35.8,266.1,1.62,0.46,7.0,12.2,21.7,85.5,0.77,3.9,4.77,5.77,52.5,1.69,31.3,7.5,-4.32
9,New Orleans Saints,13,21.9,339.5,63.5,5.4,1.31,0.23,18.6,22.1,35.3,244.5,1.38,1.08,6.5,11.2,25.9,95.0,0.77,3.7,5.31,5.62,47.9,2.15,35.8,11.3,0.75
10,Dallas Cowboys,13,22.1,361.1,63.2,5.7,2.08,0.54,19.5,21.8,36.2,250.8,1.38,1.54,6.5,11.5,24.6,110.2,0.92,4.5,5.69,8.00,65.5,2.31,31.9,16.9,1.43
11,Miami Dolphins,13,22.2,358.5,66.0,5.4,1.54,0.69,21.0,24.2,39.7,254.7,1.54,0.85,6.1,13.2,23.9,103.8,0.77,4.3,6.08,6.54,57.6,1.77,37.6,12.8,-2.89
12,Cleveland Browns,13,22.2,321.2,61.8,5.2,1.23,0.38,19.8,21.5,33.0,215.0,1.77,0.85,6.0,11.2,26.1,106.2,0.92,4.1,6.23,6.08,54.3,2.31,37.4,10.8,-4.02
13,Tennessee Titans,13,22.3,341.6,63.2,5.4,1.38,0.38,20.2,24.0,38.2,250.7,1.54,1.00,6.2,12.4,22.5,90.9,0.92,4.0,5.54,7.62,67.6,2.31,39.2,11.2,-2.62
14,Philadelphia Eagles,13,22.4,336.5,63.6,5.3,1.00,0.31,21.8,24.4,34.6,227.1,1.69,0.69,6.3,12.7,27.4,109.4,1.00,4.0,6.85,6.00,54.7,2.23,36.2,9.4,-3.85
15,Los Angeles Rams,13,22.5,347.1,66.6,5.2,1.46,0.38,21.0,25.2,37.8,246.5,1.08,1.08,6.1,13.0,26.1,100.6,1.15,3.9,6.38,5.23,40.2,1.62,35.3,12.9,-2.71
16,Cincinnati Bengals,13,22.5,349.8,63.3,5.5,1.31,0.46,19.4,25.5,37.9,256.8,1.46,0.85,6.3,12.8,22.5,93.1,0.85,4.1,5.31,6.92,56.2,1.23,34.2,11.4,-0.05
17,Kansas City Chiefs,14,21.1,366.4,62.4,5.9,1.79,0.79,21.6,23.6,35.9,250.9,1.57,1.00,6.7,12.5,24.8,115.6,0.86,4.7,7.29,7.14,54.6,1.79,36.2,16.3,-5.23
18,Tampa Bay Buccaneers,13,22.8,343.0,64.2,5.3,1.92,0.77,21.3,27.8,40.9,251.8,1.77,1.15,5.8,13.5,20.6,91.2,0.69,4.4,5.46,4.92,41.4,2.38,35.9,16.6,-3.09
19,Indianapolis Colts,14,21.4,343.7,61.5,5.6,2.21,1.00,19.8,22.6,35.0,234.1,2.00,1.21,6.3,12.6,24.4,109.6,0.57,4.5,5.86,6.14,57.4,1.29,32.9,18.9,-2.12
20,San Francisco 49ers,13,23.2,325.4,60.8,5.4,1.23,0.77,19.6,22.2,32.2,213.2,1.46,0.46,6.1,11.0,26.0,112.2,1.23,4.3,6.23,5.85,48.1,2.38,36.4,9.3,-4.52
21,New York Giants,13,23.8,369.7,68.0,5.4,1.46,0.46,22.5,25.4,37.8,244.7,1.77,1.00,6.2,13.8,28.3,125.0,0.77,4.4,7.15,6.31,48.2,1.54,41.0,13.7,-5.40
22,Pittsburgh Steelers,13,24.8,371.3,64.1,5.8,1.00,0.38,20.9,21.3,33.2,231.8,1.46,0.62,6.4,11.5,28.1,139.5,1.08,5.0,7.85,7.69,63.5,1.62,41.1,8.2,-4.60
23,Washington Football Team,13,24.9,352.7,61.7,5.7,1.08,0.46,20.5,24.5,36.3,259.1,2.08,0.62,6.7,13.5,23.2,93.6,0.69,4.0,5.38,6.15,52.1,1.69,43.1,10.2,-7.11
24,Chicago Bears,13,25.5,336.5,61.0,5.5,0.85,0.46,20.5,20.6,30.2,216.5,1.85,0.38,6.6,11.2,28.0,120.0,1.00,4.3,7.23,5.54,49.3,2.00,45.1,7.5,-7.35
25,Minnesota Vikings,13,25.6,381.5,66.0,5.8,1.23,0.38,22.5,22.3,35.4,251.9,1.85,0.85,6.5,12.8,27.5,129.5,0.92,4.7,7.38,6.15,51.9,2.31,40.0,10.7,-6.55
26,Jacksonville Jaguars,13,26.2,357.2,63.8,5.6,0.46,0.08,21.2,23.2,32.9,241.5,1.31,0.38,6.9,12.3,29.0,115.7,1.31,4.0,6.85,6.23,50.1,2.00,43.7,4.4,-9.60
27,Atlanta Falcons,13,27.2,364.5,65.2,5.6,1.15,0.54,22.4,24.7,36.0,247.5,2.00,0.62,6.6,13.4,28.0,117.1,0.92,4.2,7.46,7.38,61.8,1.54,42.5,11.2,-6.50
28,Detroit Lions,13,27.2,379.2,64.4,5.9,1.08,0.46,21.8,20.6,31.2,244.0,1.69,0.62,7.4,12.1,31.6,135.2,1.15,4.3,8.00,5.62,53.0,1.77,46.8,10.1,-10.38
29,Houston Texans,13,27.4,384.7,65.5,5.9,1.62,0.54,22.6,21.2,32.2,236.8,1.54,1.08,6.9,12.4,31.4,147.9,1.69,4.7,8.69,5.23,42.2,1.54,42.5,13.0,-8.64
30,Las Vegas Raiders,13,27.7,356.6,66.7,5.3,1.00,0.62,21.9,24.2,35.6,231.3,1.85,0.38,6.1,12.5,28.8,125.3,1.08,4.3,6.92,6.08,60.2,2.46,43.2,8.6,-8.94
31,Los Angeles Chargers,14,26.4,358.6,64.9,5.5,1.43,0.64,22.5,21.1,33.4,221.8,1.57,0.79,6.2,11.7,29.4,136.8,1.36,4.6,8.64,5.93,51.4,2.14,43.2,13.5,-6.80
32,New York Jets,13,30.5,392.8,65.6,6.0,0.69,0.38,23.1,23.1,32.7,254.0,1.62,0.31,7.3,13.2,30.6,138.8,1.85,4.5,7.54,5.31,52.3,2.31,50.3,6.2,-12.06
,Avg Team,,303.1,4570.7,833.3,5.5,17.8,6.8,269.9,297.6,457.3,3079.3,20.5,10.9,6.3,158.3,346.4,1491.4,12.4,4.3,86.9,81.4,701.6,24.8,37.5,11.8,-51.1
,League Total,,9699,146261,26665,5.5,568,218,8638,9523,14633,98537,656,350,6.3,5066,11086,47724,398,4.3,2780,2605,22450,792,37.5,11.8,
,Avg Tm/G,,23.1,348.2,63.5,5.5,1.4,0.5,20.6,22.7,34.8,234.6,1.6,0.8,6.3,12.1,26.4,113.6,0.9,4.3,6.6,6.2,53.5,1.9,37.5,11.8,
